slide_path,output_dir,status,elapsed_seconds,log_path
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 16_Core[1,20,8]_[10584,53132].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,20,8]_[10584,53132]",success,25.6,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,20,8]_[10584,53132]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 16_Core[1,20,5]_[13131,53380].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,20,5]_[13131,53380]",success,25.7,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,20,5]_[13131,53380]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 1_Core[1,20,7]_[13110,53915].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,20,7]_[13110,53915]",success,26.2,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,20,7]_[13110,53915]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 1_Core[1,20,8]_[12220,53866].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,20,8]_[12220,53866]",success,27.4,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,20,8]_[12220,53866]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 1_Core[1,20,4]_[15668,54056].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,20,4]_[15668,54056]",success,27.5,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,20,4]_[15668,54056]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 1_Core[1,20,5]_[14743,54039].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,20,5]_[14743,54039]",success,27.6,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,20,5]_[14743,54039]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 1_Core[1,20,9]_[11380,53841].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,20,9]_[11380,53841]",success,22.3,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,20,9]_[11380,53841]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 1_Core[1,23,8]_[12118,56335].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,23,8]_[12118,56335]",success,22.4,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,23,8]_[12118,56335]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 1_Core[1,22,8]_[12167,55519].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,22,8]_[12167,55519]",success,23.9,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 1_Core[1,22,8]_[12167,55519]/batch_run.log"
"/data_g1/AI_projects/raw_data/PCITB_CRC/HE_raw_images/Tumor/TMA3/TMA 3 Level 16_Core[1,24,1]_[16431,56914].tif","/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,24,1]_[16431,56914]",success,24.1,"/data_g1/AI_projects/projects/Immune_Cell_Prediction_WK/DIR/nhs/TMA 3 Level 16_Core[1,24,1]_[16431,56914]/batch_run.log"
